"","Crop","Plot","Range","Unique.ID","Lentil","Wheat","Rep_gen","Facet","Combo","Rep_combo","Type","Col","Row","Block","BlockRow","BlockCol","Name","ENV","Planting.Date..date.","HD","HT","MAT","LD","YLD","Y.ADJ","TWT","KWT","PRO","Notes"
"28","Wheat",2612,29,"2612-CW1","CL2","CW1",28,"CW1","CL2-CW1",2,"Check",29,57,36,9,4,"AAC Schrader","Hunter2025","16-May-25",58,109,106,1,2989,8161,79.1,49.4,14.5,""
"29","Wheat",3101,20,"3101-CW1","CL2","CW1",29,"CW1","CL2-CW1",2,"Check",20,74,46,7,5,"AAC Schrader","Hunter2025","16-May-25",58,101,106,1,2853,7788,79.6,47.8,14.5,""
"30","Wheat",1753,28,"1753-CW1","CL3","CW1",30,"CW1","CL3-CW1",1,"Check",28,28,18,8,3,"AAC Schrader","Hunter2025","16-May-25",58,90,107,1,2176,7451,77.7,52.6,14.6,""
"31","Wheat",1989,29,"1989-CW1","CL3","CW1",31,"CW1","CL3-CW1",1,"Check",29,35,24,6,4,"AAC Schrader","Hunter2025","16-May-25",57,100,105,1,2856,7796,78.6,48,14.6,""
"32","Wheat",2340,1,"2340-CW1","CL2","CW1",32,"CW1","CL2-CW1",2,"Check",1,47,25,8,1,"AAC Schrader","Hunter2025","16-May-25",58,94,106,1,2623,7160,79.4,49.8,14.6,""
"33","Wheat",2614,27,"2614-CW1","CL1","CW1",33,"CW1","CL1-CW1",2,"Check",27,57,36,9,2,"AAC Schrader","Hunter2025","16-May-25",58,102,107,4,3078,8403,79.5,49.8,14.6,""
"34","Wheat",2959,19,"2959-CW1","CL1","CW1",34,"CW1","CL1-CW1",2,"Check",19,69,46,2,4,"AAC Schrader","Hunter2025","16-May-25",57,96,103,1,2537,6925,78.9,47.9,14.6,""
"35","Wheat",2999,2,"2999-CW1","CL2","CW1",35,"CW1","CL2-CW1",2,"Check",2,70,43,3,2,"AAC Schrader","Hunter2025","16-May-25",59,92,105,1,2585,7057,79.4,50.4,14.6,""
"36","Wheat",1022,22,"1022-CW1","CL3","CW1",36,"CW1","CL3-CW1",1,"Check",22,2,5,1,2,"AAC Schrader","Hunter2025","16-May-25",56,94,106,3,2762,7540,78.4,51.4,14.7,""
"37","Wheat",1311,11,"1311-CW1","CL1","CW1",37,"CW1","CL1-CW1",1,"Check",11,12,9,2,1,"AAC Schrader","Hunter2025","16-May-25",59,100,105,1,3018,8239,79.7,50.6,14.7,""
"38","Wheat",1431,11,"1431-CW1","CL2","CW1",38,"CW1","CL2-CW1",1,"Check",11,16,9,6,1,"AAC Schrader","Hunter2025","16-May-25",58,97,105,3,2816,7687,79.1,49.4,14.7,""
"39","Wheat",1895,6,"1895-CW1","CL1","CW1",39,"CW1","CL1-CW1",1,"Check",6,32,20,3,1,"AAC Schrader","Hunter2025","16-May-25",56,90,104,1,2570,7015,78.9,50.4,14.7,""
"40","Wheat",2159,2,"2159-CW1","CL3","CW1",40,"CW1","CL3-CW1",2,"Check",2,41,25,2,2,"AAC Schrader","Hunter2025","16-May-25",57,65,106,1,2503,6833,78.1,49,14.7,""
"41","Wheat",2176,16,"2176-CW1","CL1","CW1",41,"CW1","CL1-CW1",2,"Check",16,42,28,3,1,"AAC Schrader","Hunter2025","16-May-25",57,84,104,1,2493,6806,78.8,49.9,14.7,""
